run_time,seed,variant,epoch,train_loss,train_acc,val_loss,val_acc,lr,best_val_acc
2026-02-19T21:53:49,42,resnet34,1,0.600858,0.640833,0.521903,0.669742,0.00030000,0.669742
2026-02-19T21:56:59,42,resnet34,2,0.500524,0.682285,0.446763,0.702030,0.00030000,0.702030
2026-02-19T22:00:34,42,resnet34,3,0.448766,0.705417,0.424167,0.709102,0.00030000,0.709102
2026-02-19T22:03:59,42,resnet34,4,0.409072,0.718400,0.416875,0.715867,0.00030000,0.715867
2026-02-19T22:07:13,42,resnet34,5,0.380611,0.732437,0.405821,0.724477,0.00030000,0.724477
2026-02-19T22:10:25,42,resnet34,6,0.344321,0.749242,0.437699,0.704490,0.00030000,0.724477
2026-02-19T22:13:32,42,resnet34,7,0.321269,0.757875,0.394471,0.717097,0.00015000,0.724477
2026-02-19T22:16:38,42,resnet34,8,0.234485,0.805259,0.320042,0.766913,0.00015000,0.766913
2026-02-19T22:19:04,42,resnet34,9,0.205623,0.822591,0.305769,0.771218,0.00015000,0.771218
2026-02-19T22:20:39,42,resnet34,10,0.178217,0.838606,0.332535,0.770295,0.00015000,0.771218
